timestamp,fask1,fask1amountltc,fbid1,fbid1amountltc,sask1,sask1amount,sbid1,sbid1amount,diff,mindiff,maxdiff,avadiff
2017/6/8 9:07:18,189.4335488,6.1569664264242512042301981094,189.083648,1.8142235123367198838896952104,189.3,0.002,189.29,54.189,0.1435488,0.1435488,0.1435488,0.1435488
2017/6/8 9:07:24,189.4335488,6.1569664264242512042301981094,189.083648,1.8142235123367198838896952104,189.5,12,189.29,9.1,0.1435488,0.1435488,0.1435488,0.1435488
2017/6/8 9:07:30,189.3992448,171.70180395566181264942403825,189.083648,1.8142235123367198838896952104,189.5,12,189.29,15.42,0.1092448,0.1092448,0.1435488,0.1321141333333333333333333333
2017/6/8 9:07:35,189.3992448,171.70180395566181264942403825,189.083648,1.8142235123367198838896952104,189.49,24.191,189.29,15.42,0.1092448,0.1092448,0.1435488,0.1263968
2017/6/8 9:07:41,189.3992448,171.70180395566181264942403825,189.083648,1.4513788098693759071117561684,189.48,23.821,189.3,0.31,0.0992448,0.0992448,0.1435488,0.1209664
2017/6/8 9:07:47,189.3992448,171.70180395566181264942403825,189.083648,1.4513788098693759071117561684,189.48,33.111,189.3,10.31,0.0992448,0.0992448,0.1435488,0.1173461333333333333333333333
2017/6/8 9:07:52,189.3923840,7.969570729940228219525448288,189.083648,1.4513788098693759071117561684,189.48,33.111,189.3,10.31,0.0923840,0.0923840,0.1435488,0.1137801142857142857142857143
2017/6/8 9:07:58,189.3923840,0.7245064299945662017750407535,189.083648,1.4513788098693759071117561684,189.3,21.3,189.29,15.42,0.1023840,0.0923840,0.1435488,0.1123556
2017/6/8 9:08:04,189.3923840,0.7245064299945662017750407535,189.083648,1.4513788098693759071117561684,189.49,24.191,189.3,4.832,0.0923840,0.0923840,0.1435488,0.1101365333333333333333333333
2017/6/8 9:08:09,189.7628672,117.86398640587150656205936585,189.3992448,115.19234948924146924581612693,189.5,12,189.4,4.85,0.3628672,0.0923840,0.3628672,0.1354096
2017/6/8 9:08:15,189.7491456,108.47163466753443974400694218,189.3992448,115.19234948924146924581612693,189.69,0.5,189.4,11,0.3491456,0.0923840,0.3628672,0.1548401454545454545454545455
2017/6/8 9:08:20,189.7491456,105.21748562750840655168673392,189.3992448,115.19234948924146924581612693,189.68,0.15,189.4,11.05,0.3491456,0.0923840,0.3628672,0.1710322666666666666666666667
2017/6/8 9:08:26,190.1539328,2.8864193967383460816856689277,189.3992448,115.19234948924146924581612693,189.68,0.15,189.5,115.93,0.6539328,0.0923840,0.6539328,0.2081784615384615384615384615
2017/6/8 9:08:32,190.1264896,9.382217090069284064665127021,189.4061056,3.9844966856232115043286123085,189.4,184.41,189.35,22.619,0.7764896,0.0923840,0.7764896,0.2487721142857142857142857143
2017/6/8 9:08:38,190.112768,116.56441717791411042944785276,189.4129664,0.3622138510576644450883801797,189.4,184.41,189.35,5.881,0.762768,0.0923840,0.7764896,0.2830385066666666666666666667
2017/6/8 9:08:43,190.0921856,6.857472840798354206518208395,189.4061056,2.8978157713623356395117180425,189.4,146.06,189.3,31.711,0.7921856,0.0923840,0.7921856,0.3148602
2017/6/8 9:08:49,190.0716032,15.882183078255847531042448744,189.4061056,27.167022856521896620422356649,189.4,146.06,189.3,33.171,0.7716032,0.0923840,0.7921856,0.3417274352941176470588235294
2017/6/8 9:08:55,190.0578816,114.79315572882824344812648906,189.3992448,92.00898355429978990074621459,189.3,42.376,189.29,3.071,0.7678816,0.0923840,0.7921856,0.3654026666666666666666666667
2017/6/8 9:09:00,190.0304384,5.4155534695645895010470070041,189.3992448,92.00898355429978990074621459,189.3,72.006,189.29,9.451,0.7404384,0.0923840,0.7921856,0.3851413894736842105263157895
2017/6/8 9:09:06,190.0029952,0.3610890445583880985050913555,189.3992448,92.00898355429978990074621459,189.3,72.006,189.29,9.451,0.7129952,0.0923840,0.7921856,0.40153408
2017/6/8 9:09:12,189.9892736,9.388993211035678174201935577,189.3992448,10.142722596536984713468086648,189.3,34.63,189.29,9.451,0.6992736,0.0923840,0.7921856,0.4157121523809523809523809524
2017/6/8 9:09:17,189.9686912,33.587345155115749936798006429,189.3992448,10.142722596536984713468086648,189.3,34.63,189.18,12.903,0.7886912,0.0923840,0.7921856,0.4326657454545454545454545455
2017/6/8 9:09:23,189.9481088,108.71920826410460160369862024,189.3992448,10.142722596536984713468086648,189.3,24.63,189.18,12.903,0.7681088,0.0923840,0.7921856,0.4472502260869565217391304348
2017/6/8 9:09:29,189.9343872,114.50657419448056639213986418,189.3992448,10.142722596536984713468086648,189.3,24.63,189.18,12.903,0.7543872,0.0923840,0.7921856,0.4600476
2017/6/8 9:09:34,189.6668160,5.7876650388858744800144691626,189.3992448,10.142722596536984713468086648,189.2,2,189.18,12.903,0.4868160,0.0923840,0.7921856,0.461118336
2017/6/8 9:09:40,189.6599552,11.575748806250904355375488352,189.3992448,10.142722596536984713468086648,189.2,2,189.18,12.903,0.4799552,0.0923840,0.7921856,0.4618428307692307692307692308
2017/6/8 9:09:46,189.6599552,10.490522355664882072059036319,189.3992448,10.142722596536984713468086648,189.1,43.791,189.08,26.49,0.5799552,0.0923840,0.7921856,0.466217362962962962962962963
2017/6/8 9:09:51,189.6599552,3.61742150195340761105484011,189.3992448,9.780482503803520973701369268,189.1,32.241,189.08,26.49,0.5799552,0.0923840,0.7921856,0.4702794285714285714285714286
2017/6/8 9:09:57,189.7217024,6.8708639207319278197663906267,189.3992448,9.780482503803520973701369268,189.68,19,189.08,20,0.6417024,0.0923840,0.7921856,0.4761905655172413793103448276
2017/6/8 9:10:03,189.9000832,108.74670327685248744535568482,189.3992448,9.780482503803520973701369268,189.68,8.5,189.1,41.67,0.8000832,0.0923840,0.8000832,0.4869869866666666666666666667
2017/6/8 9:10:08,189.8795008,0.7226477814713108830755889579,189.3992448,10.142722596536984713468086648,190,1072.09,189.1,41.67,0.7795008,0.0923840,0.8000832,0.496422916129032258064516129
2017/6/8 9:10:14,189.8795008,3.6132389073565544153779447897,189.3992448,10.142722596536984713468086648,189.8,50,189.1,41.67,0.7795008,0.0923840,0.8000832,0.5052691
2017/6/8 9:10:19,189.8726400,108.40108401084010840108401084,189.3992448,13.04064333840469463160182569,189.8,50,189.11,165.64,0.7626400,0.0923840,0.8000832,0.5130682181818181818181818182
2017/6/8 9:10:25,189.8726400,62.511291779584462511291779584,189.3992448,12.67840324567123089183510831,189.8,50,189.11,123.59,0.7626400,0.0923840,0.8000832,0.5204085647058823529411764706
2017/6/8 9:10:31,189.8726400,40.108401084010840108401084011,189.4129664,9.779773978556940017386264851,189.68,28.22,189.18,0.004,0.6926400,0.0923840,0.8000832,0.5253294628571428571428571429
2017/6/8 9:10:36,189.8726400,40.108401084010840108401084011,189.4198272,7.2440146329095584773081241624,189.68,28.22,189.18,0.004,0.6926400,0.0923840,0.8000832,0.5299769777777777777777777778
2017/6/8 9:10:42,189.8657792,592.61400592614005926140059261,189.426688,2.8975009054690329590727997102,189.68,28.22,189.12,5,0.7457792,0.0923840,0.8000832,0.5358094702702702702702702703
2017/6/8 9:10:48,189.8657792,488.90655488906554889065548891,189.5021568,19.188298758191231309510879403,189.18,1,189.12,5,0.7457792,0.0923840,0.8000832,0.5413349894736842105263157895
2017/6/8 9:10:53,189.8657792,488.90655488906554889065548891,189.5021568,11.223344556677890011223344557,189.18,1,189.12,5,0.7457792,0.0923840,0.8000832,0.5465771487179487179487179487
2017/6/8 9:10:59,189.8657792,492.88140492881404928814049288,189.5021568,9.77517106549364613880742913,189.18,1,189.1,41.3,0.7657792,0.0923840,0.8000832,0.5520572
