timestamp,fask1,fask1amountltc,fbid1,fbid1amountltc,sask1,sask1amount,sbid1,sbid1amount,diff,mindiff,maxdiff,avadiff
2017/6/8 8:47:15,189.9000832,11.922396040319375699989161458,189.2071424,14.866922909565595764740010153,189.9,91.13,189.3,57.622,0.6000832,0.6000832,0.6000832,0.6000832
2017/6/8 8:47:21,189.906944,21.676300578034682080924855491,189.563904,5.4288816503800217155266015201,189.9,91.13,189.3,60.906,0.606944,0.606944,0.606944,0.303472
2017/6/8 8:47:26,189.906944,12.64450867052023121387283237,189.2277248,17.765853304811283129690729125,189.9,78.837,189.4,90.96,0.506944,0.506944,0.506944,0.1689813333333333333333333333
2017/6/8 8:47:32,190.2156800,3.967538322813345356176735798,190.0029952,4.6941575792590452805661876219,189.89,36.622,189.4,90.95,0.8156800,0.8156800,0.8156800,0.2039200
2017/6/8 8:47:38,190.2088192,12.263742605684605396046746501,189.2414464,5.4381321828662582025160424899,189.9,371.682,189.41,128.967,0.7988192,0.7988192,0.7988192,0.15976384
2017/6/8 8:47:43,190.2019584,11.5427623273094542437687119,190.0029952,1.4443561782335523940203654221,189.9,351.624,189.41,129.078,0.7919584,0.7919584,0.7919584,0.1319930666666666666666666667
2017/6/8 8:47:49,190.2019584,11.5427623273094542437687119,190.0029952,1.4443561782335523940203654221,189.8,514.624,189.5,41.38,0.7019584,0.7019584,0.7019584,0.1002797714285714285714285714
2017/6/8 8:47:55,190.2019584,11.5427623273094542437687119,190.0029952,1.4443561782335523940203654221,189.8,94.293,189.5,41.32,0.7019584,0.7019584,0.7019584,0.0877448
2017/6/8 8:48:00,190.2019584,11.5427623273094542437687119,190.0029952,1.4443561782335523940203654221,189.8,69.203,189.5,41.34,0.7019584,0.7019584,0.7019584,0.0779953777777777777777777778
2017/6/8 8:48:06,190.2019584,11.5427623273094542437687119,190.0029952,1.4443561782335523940203654221,189.8,58.469,189.6,0.72,0.6019584,0.6019584,0.6019584,0.06019584
