timestamp,fask1,fask1amountltc,fbid1,fbid1amountltc,sask1,sask1amount,sbid1,sbid1amount,diff,mindiff,maxdiff,avadiff
2017/6/8 8:56:29,188.9944576,11.616509964787454169238029549,188.3907072,2.9134345751848210058632870826,188.85,28.172,188.15,74.63,0.8444576,0.8444576,0.8444576,0.8444576
2017/6/8 8:56:34,188.9944576,11.979525901187062112026717973,188.3907072,2.9134345751848210058632870826,188.85,21.938,188.3,1.01,0.6944576,0.6944576,0.8444576,0.7694576
2017/6/8 8:56:40,188.9944576,11.979525901187062112026717973,188.3907072,8.376124403656360391856950362,188.85,7.688,188.71,2.55,0.2844576,0.2844576,0.8444576,0.6077909333333333333333333333
2017/6/8 8:56:46,188.9944576,11.979525901187062112026717973,188.397568,0.3641660597232337946103423161,188.88,23.81,188.85,48.649,0.1444576,0.1444576,0.8444576,0.4919576
2017/6/8 8:56:52,188.9944576,11.616509964787454169238029549,188.397568,0.3641660597232337946103423161,188.8,21.137,188.71,2.55,0.2844576,0.1444576,0.8444576,0.4504576
2017/6/8 8:56:57,188.9944576,11.979525901187062112026717973,188.4112896,0.3641395382710654722889811376,188.8,5.486,188.15,64.58,0.8444576,0.1444576,0.8444576,0.5161242666666666666666666667
2017/6/8 8:57:03,188.6994432,8.362420011634671320535194881,188.3701248,5.4632867132867132867132867133,188.8,0.097,188.15,64.58,0.5494432,0.1444576,0.8444576,0.5208841142857142857142857143
2017/6/8 8:57:09,188.6994432,8.362420011634671320535194881,188.3701248,5.4632867132867132867132867133,188.84,0.8,188.8,7.491,-0.1005568,-0.1005568,0.8444576,0.4432040
2017/6/8 8:57:14,188.6994432,1.8179173938336242001163467132,188.3769856,0.3642058491459372837527770696,188.8,24.941,188.2,1.65,0.4994432,-0.1005568,0.8444576,0.4494528
2017/6/8 8:57:20,188.6994432,1.0907504363001745200698080279,188.3769856,0.3642058491459372837527770696,188.84,0.8,188.8,5.976,-0.1005568,-0.1005568,0.8444576,0.39445184
